globalReviewId,productName,review,keyword,summary
Capterra___1584391,EchoSpan 360 Degree Feedback,"I am a fan!  EchoSpan has proven to be an ideal partner for our engagement surveys.  The staff are highly responsive and the communication on projects is unsurpassed.  These characteristics are not easy to find in many bigger technology companies.  Bigger is not always better.  EchoSpan is the smart choice for solid software functionality and 5 star customer service! Many software packages are ""over built"" for the functionality businesses actually need.  EchoSpan is one of the few companies who designs software that walks that line perfectly.  The basics are covered with an easy step-by-step process that is both intuitive and elegant. There are also advanced features like sentiment analysis to keep pace with market competitors. They've delivered the perfect balance of neither too much nor too little functionality in their software, which makes it particularly ideal for mid-market clients.  Additionally, I can't say enough about the professionalism of their project management team.  We outsourced a very high profile project to EchoSpan and I never experienced such seamless implementation, flexibility to change course when needed, and detailed communication to ensure decisions happened quickly.  Bravo EchoSpan! Honestly, I can't think of anything.  The reports are straightforward and easy to understand.  Some of the competitors have elegant data visualization dashboards but charge 2x the money for it.","echospan
software functionality
market
ideal
customer
step
implementation
data visualization
features
sentiment
management","These characteristics are not easy to find in many bigger technology companies.
EchoSpan is the smart choice for solid software functionality and 5 star customer service!
EchoSpan is one of the few companies who designs software that walks that line perfectly."
Capterra___138744,EchoSpan 360 Degree Feedback,"I am a confirmed fan. I searched for months for a 360 survey solution that was capable, flexible, and affordable. I found a lot of capability and  flexibility out there. Affordability was another matter. Just to get started, I was being told by most vendors, would require $60,000 to $80,000 dollars. After that there's be an additional $60,000 in annual licensing fees.  For a survey that would be used regularly but on a limited basis this made no financial sense whatever. Then I came across Echospan. They saved my project. Ours is a special application of the usual 360 degree tool. We aren't using it as a competency survey for individuals. Instead, we have developed a team effectiveness assessment that runs on a 360 platform. Echospan works perfectly for our needs. It's simple, easy to set up and administer and cost effective. There are a few limitations especially in formatting of final reports. But, for the flexibility and at the cost I can't complain. ","effectiveness
effective
degree
survey
limited
limitations
licensing
echospan","I searched for months for a 360 survey solution that was capable, flexible, and affordable.
I found a lot of capability and  flexibility out there.
But, for the flexibility and at the cost I can't complain."
Capterra___416484,EchoSpan 360 Degree Feedback,Very targeted results helped to identify which competencies were in need of improvement as well as what areas the employee has excelled at. The ease of use. I have had very few questions on how to login and use the software from raters. I like the competency library and the reading suggestions. The limitation on number of raters when it comes to larger projects. It would be helpful to allow for more than 100 raters without costing per rater and having to add raters through contacting support.,"results
contacting",Very targeted results helped to identify which competencies were in need of improvement as well as what areas the employee has excelled at.
Capterra___314663,EchoSpan 360 Degree Feedback,"We are using it daily with our clients. We are a culture consultancy, but now we have been running 360 assessments as well. Echospan has made it quite easy. The support team and the features. There is a lot of online material that guides you through the set up process, but the support team is also always there to help. It is not as intuitive as it looks at a first glance. You need to pay careful attention at the rules, and the features, even though they are many and provide great help, as sometimes hard to remember and easy to be missed. You can definitely learn how to use it proficiently, however, there are certain features that may be a little bit confusing (e.g., rules about sending reminders, and some project settings can be missed).","careful
bit
great
certain
features","You need to pay careful attention at the rules, and the features, even though they are many and provide great help, as sometimes hard to remember and easy to be missed."
Capterra___1391931,EchoSpan 360 Degree Feedback,"EchoSpan has been super helpful and friendly from the beginning when we start shopping around for 360 tools.  Their tools are easy to use and manage + they include the features we needed (we can customize questions, reports, emails, etc).  And the team is quick to get feedback on any questions or issues.   First and foremost, the EchoSpan customer service has been amazing.  I never wait more than 2 hours for a response on any questions and they have helped me update, customize, and create multiple different reports for our program. 

The software is easy to use and navigate.  And the reports come out great + they are easy to customize to get what we need. I wish it was easier to customize without getting help (but then again, it's nice to pass along a request and have it done for us).","customize
customer
reports
helpful
helped
help","Their tools are easy to use and manage + they include the features we needed (we can customize questions, reports, emails, etc)."
Capterra___1109533,EchoSpan 360 Degree Feedback,"The experience has been fantastic. From support, ease of use, customization and professional reports! Highly recommend - System is very intuitive and easy to use
- Reports are generated with a click of a button
- Can align current development activities into body of report
- Participants can select their own raters in system
- Automated email reminders to complete 360 feedback - Would like to place our own pictures on front of report and through suggested development activiites","reports
report
current development
email","From support, ease of use, customization and professional reports!"
Capterra___1598598,EchoSpan 360 Degree Feedback,"We are using the survey as part of our overall talent management activities. Very intuitive and well designed.  Very easy to customize to your exact needs.  Very easy to get up and running in a short period of time.  There is a very strong support component to their service, replete with training videos and Q&A brochures.  We purchased the enterprise option and have found the dedicated support person to be a very helpful feature.   There are a very small number of advanced features in the application that are not readily observable.  This has not posed any insurmountable problems, but spending as much time upfront in learning the intricacies of the application will pay huge dividends.","support
feature
features
huge
talent management
replete",We purchased the enterprise option and have found the dedicated support person to be a very helpful feature.
Capterra___1423413,EchoSpan 360 Degree Feedback,We had a new senior team in place and they all had varying work styles and they tended to disagree a lot.  The 360 helped coach focus on the areas they had in common and work backwards from there. I liked the videos they provide  which provide you with the answers to the majority of questions you may have. There on-line  assistance was very timely and helpful. .  I really liked the way you could run reports in several different format which allowed you to be more focused on the information you were looking for.  Adding and deleting raters and was a very easy task.  There were a few things that were not intuitive when you first set up your account however going back to the home page always helped me.,"work
coach
senior",The 360 helped coach focus on the areas they had in common and work backwards from there.
Capterra___1856998,Glint,"It is super easy to use, colorful in design which makes it an approachable and trustworthy platform. I enjoy how intuitive it is to the user and how engaged glint is with it's own customer base, providing a lot of resources about performance management so we can make sure as employers that we are getting the most out of our employment.  What I like the most about Glint software is how protected my information is as a user between employer and employee. I like having the ability to give solid feedback in an arena where my identity can remain anonymous. This is a crucial aspect in being able to give constructive feedback in my work environment. The way that Glint software is set up and presented to me as an employer gives me the confidence to speak my honest truth knowing that the information I provide is confidential. There really are no negatives about this software, I have never run into any complications with accessing or as I engage in pulses. I would say that the platform is straightforward and easy to follow which does not allow much room for misinterpretation or error. ","base
feedback
truth
glint
super easy",What I like the most about Glint software is how protected my information is as a user between employer and employee.
Capterra___1341891,Glint,"Glint really helped our company to have a consistent feedback loop. Our HR team was reviewing results and feedback on a regular basis, so each team would know how they were benchmarking. I loved having a consistent feedback loop into the exec team. Our company ran Glint surveys once a quarter, and collected information on all sorts of topics, including Satisfaction, areas for growth, etc. Our managers would highlight topline results in company meetings, and some managers would deep dive down to team level stats. I have no complaints about this software.","feedback
team
satisfaction
results
including",I loved having a consistent feedback loop into the exec team.
